question_id,difficulty,source_document_expected,hit_document@6,rank_first_correct,mrr,phrase_recall_in_chunks,retrieve_total_ms,index_mode,chunk_sources,error
Q001,easy,CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf,false,0,0.0,0.0,367.518,embedding,GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;ManualTecnico_PrenatalPuerperio.pdf;ManualTecnico_PrenatalPuerperio.pdf;CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf;CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf;ManualTecnico_PrenatalPuerperio.pdf,
Q002,easy,CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf,false,0,0.0,0.0,364.76,embedding,ManualTecnico_PrenatalPuerperio.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;ManualTecnico_PrenatalPuerperio.pdf;GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf,
Q003,easy,GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf,true,2,0.5,100.0,365.893,embedding,CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;ManualTecnico_PrenatalPuerperio.pdf;ManualTecnico_PrenatalPuerperio.pdf,
Q004,easy,ManualTecnico_PrenatalPuerperio.pdf,true,2,0.5,0.0,366.735,embedding,GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;ManualTecnico_PrenatalPuerperio.pdf;ManualTecnico_PrenatalPuerperio.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;ManualTecnico_PrenatalPuerperio.pdf;ManualTecnico_PrenatalPuerperio.pdf,
Q005,medium,GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf,false,0,0.0,100.0,365.733,embedding,ManualTecnico_PrenatalPuerperio.pdf;ManualTecnico_PrenatalPuerperio.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;ManualTecnico_PrenatalPuerperio.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;ManualTecnico_PrenatalPuerperio.pdf,
Q006,medium,CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf,true,1,1.0,0.0,365.015,embedding,CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;ManualTecnico_PrenatalPuerperio.pdf;ManualGestacaoAltoRisco_2022.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;ManualTecnico_OficinaAtualizacaoEmPreNatal_ProfissionaisAtencaoBasica_2014.pdf;ManualGestacaoAltoRisco_2022.pdf,
Q007,medium,ManualGestacaoAltoRisco_2022.pdf,false,0,0.0,100.0,367.012,embedding,CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;ManualTecnico_PrenatalPuerperio.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf,
Q008,easy,CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf,true,4,0.25,100.0,366.776,embedding,CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf;ManualGestacaoAltoRisco_2022.pdf;CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf,
Q009,medium,ManualGestacaoAltoRisco_2022.pdf,true,2,0.5,100.0,365.62,embedding,ManualTecnico_PrenatalPuerperio.pdf;ManualGestacaoAltoRisco_2022.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;ManualGestacaoAltoRisco_2022.pdf,
Q010,easy,GuiaDeAtencaoSaudeDaGestante_CriteriosParaEstratificacaoDeRiscoAcompanhamentoDaGestante_2024.pdf,true,1,1.0,100.0,366.214,embedding,GuiaDeAtencaoSaudeDaGestante_CriteriosParaEstratificacaoDeRiscoAcompanhamentoDaGestante_2024.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;ManualGestacaoAltoRisco_2022.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;GuiaDeAtencaoSaudeDaGestante_CriteriosParaEstratificacaoDeRiscoAcompanhamentoDaGestante_2024.pdf;ManualTecnico_OficinaAtualizacaoEmPreNatal_ProfissionaisAtencaoBasica_2014.pdf,
Q011,easy,GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf,true,2,0.5,0.0,374.645,embedding,GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;GuiaDeAtencaoSaudeDaGestante_CriteriosParaEstratificacaoDeRiscoAcompanhamentoDaGestante_2024.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;ManualGestacaoAltoRisco_2022.pdf,
